,loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score
0,1.0886963605880737,0.7041666507720947,[0.6899563 0.7171315],0.86202472448349,0.8500000238418579,[0.8695652  0.82352936]
1,0.8443167209625244,0.8416666388511658,[0.8376068 0.8455285],0.8163021206855774,0.8999999761581421,[0.90909094 0.88888896]
2,0.68367600440979,0.875,[0.8739496 0.876033 ],0.5204675793647766,0.9333333373069763,[0.9310345 0.9354838]
3,0.45310935378074646,0.9041666388511658,[0.9045644 0.9037657],0.5320593118667603,0.8999999761581421,[0.9032258 0.8965517]
4,0.2708674371242523,0.9291666746139526,[0.9300412  0.92827004],0.5531663298606873,0.8833333253860474,[0.88524586 0.88135594]
5,0.8661792278289795,0.8291666507720947,[0.83921576 0.8177778 ],0.8076115846633911,0.8833333253860474,[0.89552236 0.8679245 ]
6,0.7871073484420776,0.862500011920929,[0.8533333  0.87058824],0.8648747801780701,0.8999999761581421,[0.90909094 0.88888896]
7,0.3358556628227234,0.9208333492279053,[0.9184549 0.9230769],0.8668548464775085,0.8999999761581421,[0.90909094 0.88888896]
8,0.32612407207489014,0.9333333373069763,[0.9338843  0.93277305],0.4798446595668793,0.8833333253860474,[0.88135594 0.88524586]
9,0.22304028272628784,0.949999988079071,[0.95 0.95],0.4714418947696686,0.9166666865348816,[0.9230769  0.90909094]
10,0.18401755392551422,0.9583333134651184,[0.9579832 0.9586777],0.45769059658050537,0.9333333373069763,[0.9375     0.92857146]
